Unnamed: 0,username,name,description,user_char,followers_count,following_agentid_list,previous_tweets,activity_vector
17,a3536363773,~🦋~,👑,TikTok user. Bio: 👑,144,[],[],"[0.03, 0.02, 0.0, 0.0, 0.04, 0.07, 0.21, 0.51, 0.35, 0.29, 0.44, 0.46, 0.64, 0.54, 0.46, 0.62, 0.71, 0.81, 0.8, 0.68, 0.58, 0.41, 0.19, 0.13]"
18,a.oakley03,a b b y ㋡,"nc
19
👻 : abbyoakleyyy 
stop lurking","TikTok user. Bio: nc
19
👻 : abbyoakleyyy 
stop lurking",755,[],[],"[0.07, 0.02, 0.05, 0.0, 0.05, 0.08, 0.22, 0.55, 0.38, 0.25, 0.41, 0.53, 0.62, 0.45, 0.46, 0.58, 0.72, 0.84, 0.77, 0.72, 0.62, 0.39, 0.23, 0.13]"
19,_lipsticklinz,_lipsticklinz,"Christian based makeup page✝️
Make your dreams reality.✨","TikTok user. Bio: Christian based makeup page✝️
Make your dreams reality.✨",80400,[],[],"[0.06, 0.08, 0.02, 0.01, 0.03, 0.06, 0.32, 0.53, 0.65, 0.71, 0.67, 0.8, 0.8, 0.77, 0.86, 0.9, 0.87, 0.9, 0.89, 0.82, 0.69, 0.64, 0.43, 0.21]"
20,lottaavacada,LottaAvacada,"Most based verse:
2 Kings 2:23-24","TikTok user. Bio: Most based verse:
2 Kings 2:23-24",33000,[],[],"[0.11, 0.09, 0.09, 0.08, 0.0, 0.12, 0.29, 0.5, 0.62, 0.67, 0.68, 0.82, 0.83, 0.84, 0.93, 0.85, 0.86, 0.93, 0.87, 0.78, 0.74, 0.64, 0.41, 0.17]"
21,1305.daniel,Osem15,relapsing,TikTok user. Bio: relapsing,2231,[],[],"[0.0, 0.0, 0.03, 0.0, 0.0, 0.01, 0.18, 0.52, 0.38, 0.31, 0.36, 0.54, 0.56, 0.47, 0.5, 0.64, 0.73, 0.85, 0.83, 0.69, 0.59, 0.42, 0.18, 0.14]"
22,dkanik34,Prince,Prince,TikTok user. Bio: Prince,1042,[],[],"[0.02, 0.02, 0.0, 0.05, 0.0, 0.03, 0.18, 0.52, 0.37, 0.33, 0.35, 0.51, 0.63, 0.52, 0.47, 0.55, 0.73, 0.85, 0.82, 0.68, 0.63, 0.42, 0.19, 0.11]"
23,jessicaw521,Jessica81,from Georgia love my family and friends. I like being outdoors.,TikTok user. Bio: from Georgia love my family and friends. I like being outdoors.,1694,[],[],"[0.05, 0.06, 0.04, 0.0, 0.0, 0.07, 0.17, 0.49, 0.41, 0.29, 0.35, 0.54, 0.64, 0.48, 0.51, 0.65, 0.73, 0.76, 0.78, 0.68, 0.63, 0.41, 0.16, 0.05]"
24,nbut_tia,Tya,https://youtu.be/rqeQj198fNw,TikTok user. Bio: https://youtu.be/rqeQj198fNw,579,[],[],"[0.1, 0.04, 0.06, 0.0, 0.0, 0.07, 0.25, 0.48, 0.36, 0.29, 0.38, 0.49, 0.62, 0.54, 0.5, 0.57, 0.72, 0.81, 0.8, 0.74, 0.63, 0.38, 0.21, 0.12]"
25,jessica.m084,Jessica Meyer,"28 
5 year old 💙
1 year old 🩷","TikTok user. Bio: 28 
5 year old 💙
1 year old 🩷",31200,[],[],"[0.14, 0.06, 0.03, 0.02, 0.04, 0.06, 0.32, 0.49, 0.61, 0.69, 0.69, 0.76, 0.79, 0.81, 0.87, 0.9, 0.88, 0.92, 0.89, 0.83, 0.7, 0.6, 0.39, 0.25]"
26,jessoz0,JessO,"sprinter 🇳🇬
wellness & life 
insta: jess_ozo","TikTok user. Bio: sprinter 🇳🇬
wellness & life 
insta: jess_ozo",6,[],[],"[0.03, 0.02, 0.04, 0.04, 0.05, 0.02, 0.18, 0.5, 0.42, 0.27, 0.37, 0.5, 0.58, 0.53, 0.48, 0.58, 0.75, 0.84, 0.81, 0.7, 0.62, 0.4, 0.25, 0.06]"
27,jesuthasanjesu344gmail.c,jesuthasanjesu,l am only single no love 💔  no girls friend i am very  happy 😊,TikTok user. Bio: l am only single no love 💔  no girls friend i am very  happy 😊,1460,[],[],"[0.04, 0.05, 0.03, 0.05, 0.0, 0.1, 0.24, 0.47, 0.42, 0.32, 0.44, 0.54, 0.62, 0.54, 0.47, 0.58, 0.69, 0.83, 0.77, 0.67, 0.56, 0.38, 0.23, 0.07]"
28,dream_boy__777,Manish Roy 👑,"Dance+2 Live show in mumbai😘Love You Dance+ 
click link New Photo Editing video","TikTok user. Bio: Dance+2 Live show in mumbai😘Love You Dance+ 
click link New Photo Editing video",6767,[],[],"[0.07, 0.03, 0.0, 0.0, 0.04, 0.05, 0.17, 0.54, 0.45, 0.35, 0.37, 0.55, 0.57, 0.45, 0.54, 0.64, 0.68, 0.77, 0.79, 0.7, 0.58, 0.39, 0.23, 0.11]"
29,ladybug.223,Ladybug,"Mom of 2
🌈Taken
everyone matters
your enough","TikTok user. Bio: Mom of 2
🌈Taken
everyone matters
your enough",10500,[],[],"[0.14, 0.03, 0.01, 0.08, 0.05, 0.1, 0.32, 0.53, 0.63, 0.72, 0.67, 0.82, 0.76, 0.79, 0.91, 0.88, 0.88, 0.92, 0.93, 0.83, 0.65, 0.64, 0.43, 0.25]"
30,manatan0127,まなみん。,"アラサー代表目指してます。

pococha毎日配信してます！
⬇️から飛べるよ📲","TikTok user. Bio: アラサー代表目指してます。

pococha毎日配信してます！
⬇️から飛べるよ📲",88700,[],[],"[0.11, 0.04, 0.07, 0.02, 0.1, 0.08, 0.35, 0.47, 0.61, 0.69, 0.66, 0.8, 0.8, 0.83, 0.94, 0.86, 0.87, 0.95, 0.87, 0.77, 0.71, 0.62, 0.42, 0.15]"
31,bhawaniyogi165,Bhawani Yogi,"Nagour___    RJ21____
  Bhawani yogi___
           दबंगों का क्षेत्र_____नागौर","TikTok user. Bio: Nagour___    RJ21____
  Bhawani yogi___
           दबंगों का क्षेत्र_____नागौर",27000,[],[],"[0.08, 0.1, 0.08, 0.1, 0.02, 0.06, 0.34, 0.46, 0.56, 0.7, 0.66, 0.79, 0.82, 0.79, 0.85, 0.87, 0.89, 0.86, 0.88, 0.84, 0.68, 0.58, 0.39, 0.23]"
32,grayson__o,Grayson,Yeet,TikTok user. Bio: Yeet,27400,[],[],"[0.14, 0.04, 0.06, 0.1, 0.07, 0.13, 0.26, 0.54, 0.61, 0.71, 0.66, 0.78, 0.82, 0.79, 0.91, 0.92, 0.91, 0.85, 0.91, 0.83, 0.74, 0.56, 0.44, 0.2]"
33,_salinasincerely,_salinasincerely,Over 50- still figuring sh*t out! Follow me on Instagram! Salina_sincerely,TikTok user. Bio: Over 50- still figuring sh*t out! Follow me on Instagram! Salina_sincerely,11700,[],[],"[0.07, 0.04, 0.04, 0.03, 0.09, 0.07, 0.25, 0.55, 0.62, 0.7, 0.75, 0.79, 0.76, 0.79, 0.87, 0.95, 0.94, 0.9, 0.89, 0.8, 0.72, 0.57, 0.41, 0.16]"
34,divya_angural786,DIVYA ANGURAL,ਪਰੋਸਾ ਕਰਨਾ ਕੀਯੋ ਗੈਰਾ ਤੇ ਜਦ ਚਲਣਾ ਆਪਣੇ ਪੈਰਾਂ ਤੇ    miss u veer g😔,TikTok user. Bio: ਪਰੋਸਾ ਕਰਨਾ ਕੀਯੋ ਗੈਰਾ ਤੇ ਜਦ ਚਲਣਾ ਆਪਣੇ ਪੈਰਾਂ ਤੇ    miss u veer g😔,16000,[],[],"[0.05, 0.08, 0.01, 0.06, 0.0, 0.14, 0.29, 0.48, 0.57, 0.69, 0.65, 0.81, 0.84, 0.81, 0.93, 0.93, 0.88, 0.93, 0.88, 0.76, 0.72, 0.6, 0.41, 0.19]"
35,baubleandbeam,bauble and beam jewelry!,"effortlessly YOU.
shop link in in IG bio!
EVERYTHING water safe","TikTok user. Bio: effortlessly YOU.
shop link in in IG bio!
EVERYTHING water safe",2258,[],[],"[0.05, 0.0, 0.0, 0.0, 0.04, 0.01, 0.21, 0.48, 0.42, 0.32, 0.43, 0.45, 0.64, 0.47, 0.48, 0.65, 0.67, 0.85, 0.83, 0.67, 0.56, 0.4, 0.19, 0.06]"
36,fabioygeh,Fabio Corrêa de Alme,digite meu código 232202316,TikTok user. Bio: digite meu código 232202316,821,[],[],"[0.07, 0.03, 0.06, 0.0, 0.04, 0.04, 0.17, 0.48, 0.41, 0.25, 0.44, 0.54, 0.61, 0.47, 0.47, 0.55, 0.67, 0.79, 0.8, 0.67, 0.6, 0.37, 0.22, 0.1]"
37,avs2704,Av,🍓,TikTok user. Bio: 🍓,133,[],[],"[0.09, 0.02, 0.0, 0.02, 0.02, 0.07, 0.16, 0.52, 0.38, 0.33, 0.43, 0.51, 0.59, 0.55, 0.54, 0.57, 0.71, 0.81, 0.82, 0.74, 0.56, 0.36, 0.16, 0.09]"
38,farahn75,Riyaz14,"follow me guys👈👈🌷🌷💔💖👌👌🙏🙏
                  Riyaz.14🙏🙏👌👌","TikTok user. Bio: follow me guys👈👈🌷🌷💔💖👌👌🙏🙏
                  Riyaz.14🙏🙏👌👌",20600,[],[],"[0.09, 0.09, 0.09, 0.07, 0.06, 0.11, 0.27, 0.49, 0.58, 0.66, 0.68, 0.79, 0.8, 0.84, 0.9, 0.91, 0.9, 0.92, 0.9, 0.83, 0.75, 0.64, 0.38, 0.2]"
39,ummylkheiry,ummylkheiry,"CEO @ummyoutfitcollection
Bella ummy🇴🇲🇹🇿
🚨DO NOT LIKE MORE THAN 3 VIDEOS🚨","TikTok user. Bio: CEO @ummyoutfitcollection
Bella ummy🇴🇲🇹🇿
🚨DO NOT LIKE MORE THAN 3 VIDEOS🚨",72000,[],[],"[0.1, 0.08, 0.08, 0.01, 0.06, 0.1, 0.3, 0.5, 0.61, 0.74, 0.73, 0.84, 0.84, 0.79, 0.93, 0.94, 0.91, 0.88, 0.91, 0.84, 0.65, 0.64, 0.42, 0.18]"
40,electrony,Electrony,تابعنا و خلك أول بأول مع جديد التقنية,TikTok user. Bio: تابعنا و خلك أول بأول مع جديد التقنية,346700,[],[],"[0.09, 0.01, 0.08, 0.03, 0.05, 0.08, 0.3, 0.51, 0.63, 0.72, 0.75, 0.81, 0.83, 0.82, 0.85, 0.94, 0.89, 0.86, 0.93, 0.77, 0.67, 0.59, 0.42, 0.25]"
41,lisababy21_,LisaBaby21_,Follow my Instagram @_aafj 😏,TikTok user. Bio: Follow my Instagram @_aafj 😏,83,[],[],"[0.03, 0.0, 0.03, 0.0, 0.0, 0.06, 0.17, 0.52, 0.44, 0.29, 0.38, 0.48, 0.57, 0.48, 0.5, 0.56, 0.72, 0.78, 0.82, 0.69, 0.61, 0.42, 0.19, 0.09]"
42,simobmd10,virtuose BMD,"فيديوهاتي ليست للشهرة بل للمتعة فقط
Instagram :  el_alaoui_53","TikTok user. Bio: فيديوهاتي ليست للشهرة بل للمتعة فقط
Instagram :  el_alaoui_53",42600,[],[],"[0.09, 0.1, 0.07, 0.06, 0.02, 0.07, 0.26, 0.54, 0.61, 0.72, 0.65, 0.85, 0.83, 0.77, 0.87, 0.87, 0.88, 0.9, 0.89, 0.78, 0.71, 0.56, 0.38, 0.19]"
43,1musictay,T.A.Y.,"T.A.Y. 
Stream my music below!
Follow my IG: _2damnpretty","TikTok user. Bio: T.A.Y. 
Stream my music below!
Follow my IG: _2damnpretty",14400,[],[],"[0.06, 0.06, 0.01, 0.02, 0.03, 0.14, 0.32, 0.5, 0.55, 0.72, 0.69, 0.83, 0.78, 0.76, 0.94, 0.87, 0.89, 0.88, 0.86, 0.83, 0.73, 0.65, 0.39, 0.25]"
44,hdpsoyyoxd,xd,"Lit killah mi varón :v 
Y ✨Litiago existe xd✨","TikTok user. Bio: Lit killah mi varón :v 
Y ✨Litiago existe xd✨",75,[],[],"[0.08, 0.0, 0.03, 0.0, 0.0, 0.06, 0.19, 0.49, 0.4, 0.32, 0.45, 0.5, 0.59, 0.46, 0.47, 0.65, 0.74, 0.84, 0.81, 0.67, 0.61, 0.36, 0.2, 0.14]"
45,dfzg242,👑🍁B. T. S.🍁👑,"😭Tik Tokគ្មានអ្នកLike😭
        😥នឹងFollo😥","TikTok user. Bio: 😭Tik Tokគ្មានអ្នកLike😭
        😥នឹងFollo😥",49,[],[],"[0.1, 0.02, 0.0, 0.0, 0.0, 0.05, 0.15, 0.47, 0.36, 0.31, 0.44, 0.52, 0.65, 0.5, 0.51, 0.58, 0.75, 0.82, 0.79, 0.68, 0.6, 0.36, 0.17, 0.1]"
46,lpo_tuv,عبودي كربلاء,مادام احبكم حته لو تعوفوني ابقه احبكم,TikTok user. Bio: مادام احبكم حته لو تعوفوني ابقه احبكم,196,[],[],"[0.08, 0.03, 0.0, 0.04, 0.0, 0.09, 0.15, 0.49, 0.44, 0.3, 0.4, 0.46, 0.59, 0.52, 0.54, 0.58, 0.66, 0.83, 0.79, 0.71, 0.55, 0.38, 0.15, 0.09]"
47,lovewanda33,CGGGx1412,No bio yet,TikTok user. Bio: No bio yet,4089,[],[],"[0.01, 0.07, 0.03, 0.0, 0.03, 0.08, 0.21, 0.49, 0.42, 0.27, 0.38, 0.45, 0.56, 0.48, 0.51, 0.58, 0.67, 0.84, 0.78, 0.68, 0.65, 0.36, 0.22, 0.05]"
48,thelaundryspot,The Laundry Spot,Our journey buying a laundromat during a pandemic!,TikTok user. Bio: Our journey buying a laundromat during a pandemic!,217300,[],[],"[0.05, 0.09, 0.03, 0.03, 0.08, 0.08, 0.34, 0.49, 0.6, 0.69, 0.66, 0.76, 0.79, 0.82, 0.9, 0.91, 0.88, 0.9, 0.87, 0.79, 0.66, 0.55, 0.36, 0.17]"
49,blandine_ytb,Blandine 🩷,"Hi 🦋
ytb : BLANDINE
insta : blandine_ytb
snap : blandine149","TikTok user. Bio: Hi 🦋
ytb : BLANDINE
insta : blandine_ytb
snap : blandine149",45500,[],[],"[0.08, 0.02, 0.09, 0.09, 0.07, 0.11, 0.3, 0.47, 0.63, 0.74, 0.72, 0.8, 0.79, 0.83, 0.93, 0.87, 0.95, 0.86, 0.88, 0.78, 0.72, 0.62, 0.44, 0.21]"
50,lifesimmings200,LSDoesTikTok,"female
duets are open to nice people
Don't Like Me, Block Me","TikTok user. Bio: female
duets are open to nice people
Don't Like Me, Block Me",17600,[],[],"[0.1, 0.02, 0.03, 0.04, 0.04, 0.15, 0.29, 0.53, 0.63, 0.68, 0.68, 0.79, 0.76, 0.85, 0.94, 0.91, 0.88, 0.94, 0.92, 0.79, 0.7, 0.6, 0.44, 0.21]"
51,lyllistapper,Lylli,"yeet or be yeeted 

a recipe for not good

lylli@a3artistsagency.com","TikTok user. Bio: yeet or be yeeted 

a recipe for not good

lylli@a3artistsagency.com",2400000,[],[],"[0.12, 0.0, 0.03, 0.06, 0.03, 0.14, 0.27, 0.49, 0.61, 0.7, 0.67, 0.77, 0.81, 0.77, 0.89, 0.85, 0.88, 0.88, 0.89, 0.76, 0.73, 0.62, 0.41, 0.22]"
52,syedsmarts,Ⓢⓨⓔⓓ ⓢⓜⓐⓡⓣ,"🤔Nala payan😜
qatar boys🇧🇭 doha🇧🇭","TikTok user. Bio: 🤔Nala payan😜
qatar boys🇧🇭 doha🇧🇭",3122,[],[],"[0.08, 0.0, 0.0, 0.02, 0.0, 0.06, 0.16, 0.55, 0.45, 0.3, 0.41, 0.53, 0.63, 0.49, 0.53, 0.59, 0.74, 0.82, 0.79, 0.74, 0.59, 0.36, 0.18, 0.09]"
53,bamsbambi,Rubi,Hairpage | ~ @sweetbambishair,TikTok user. Bio: Hairpage | ~ @sweetbambishair,9030,[],[],"[0.08, 0.03, 0.01, 0.0, 0.02, 0.05, 0.23, 0.48, 0.4, 0.28, 0.36, 0.48, 0.55, 0.49, 0.49, 0.61, 0.74, 0.77, 0.79, 0.72, 0.61, 0.41, 0.2, 0.11]"
54,dr.stov,dr.stov,"316🛫
Sc- dr.stov","TikTok user. Bio: 316🛫
Sc- dr.stov",9074,[],[],"[0.04, 0.01, 0.0, 0.01, 0.0, 0.1, 0.23, 0.53, 0.42, 0.25, 0.39, 0.49, 0.57, 0.53, 0.51, 0.64, 0.68, 0.78, 0.82, 0.75, 0.58, 0.37, 0.17, 0.07]"
55,viperajlx,Daniel’s Wife 🫂,"✨Female, 24 ✨
👾 Twitch Affiliate 👾
www.twitch.tv/viperajlx","TikTok user. Bio: ✨Female, 24 ✨
👾 Twitch Affiliate 👾
www.twitch.tv/viperajlx",457,[],[],"[0.01, 0.07, 0.01, 0.0, 0.01, 0.03, 0.24, 0.45, 0.36, 0.33, 0.36, 0.53, 0.55, 0.51, 0.53, 0.64, 0.75, 0.8, 0.79, 0.74, 0.59, 0.41, 0.15, 0.13]"
56,vavamah,@mahivava,"mahi.
23.6.1993
ഇടപ്പോൺകാരൻ 
fb. mahivava","TikTok user. Bio: mahi.
23.6.1993
ഇടപ്പോൺകാരൻ 
fb. mahivava",18100,[],[],"[0.15, 0.03, 0.07, 0.02, 0.04, 0.13, 0.27, 0.5, 0.64, 0.69, 0.68, 0.76, 0.83, 0.76, 0.91, 0.9, 0.93, 0.88, 0.89, 0.84, 0.72, 0.62, 0.35, 0.15]"
57,dead.flower_,Steph 🧚🏼‍♀️💜,"just for fun 
🇸🇻/🇭🇳","TikTok user. Bio: just for fun 
🇸🇻/🇭🇳",39900,[],[],"[0.06, 0.02, 0.04, 0.03, 0.06, 0.1, 0.33, 0.54, 0.6, 0.69, 0.66, 0.84, 0.79, 0.81, 0.87, 0.89, 0.9, 0.86, 0.94, 0.77, 0.74, 0.56, 0.45, 0.16]"
58,larosalia2002,larosalia2002,insta larosalia2002,TikTok user. Bio: insta larosalia2002,180200,[],[],"[0.09, 0.05, 0.05, 0.01, 0.06, 0.08, 0.28, 0.49, 0.63, 0.75, 0.73, 0.79, 0.77, 0.8, 0.93, 0.88, 0.92, 0.88, 0.85, 0.84, 0.67, 0.58, 0.41, 0.21]"
59,d_e_s_i_c_h_o_r_a_,👑|_ᗪᗴՏI _ᑕᕼOᖇᗩ_|👑,"🙏JÁÝ MÁÁ MÒĢÀL🙏
🙏JÂÝ ĞØĞÁ🙏
👑ĶĪŃĞ ŐF ĐÂĻÍŤ👑
16 DECEMBER
😊 ŤÑX FØŘ §ÁPPÓŘŤ?","TikTok user. Bio: 🙏JÁÝ MÁÁ MÒĢÀL🙏
🙏JÂÝ ĞØĞÁ🙏
👑ĶĪŃĞ ŐF ĐÂĻÍŤ👑
16 DECEMBER
😊 ŤÑX FØŘ §ÁPPÓŘŤ?",7000,[],[],"[0.09, 0.0, 0.05, 0.0, 0.02, 0.03, 0.18, 0.51, 0.37, 0.31, 0.41, 0.49, 0.59, 0.5, 0.47, 0.56, 0.66, 0.8, 0.76, 0.68, 0.63, 0.38, 0.16, 0.13]"
60,x_dristawastaken_x,gaymer 🇺🇦,"november 8th 2020-may 6, 2022
they/she
capcut/funimate
340K LIKES BRO WHAT","TikTok user. Bio: november 8th 2020-may 6, 2022
they/she
capcut/funimate
340K LIKES BRO WHAT",10400,[],[],"[0.08, 0.02, 0.03, 0.07, 0.06, 0.09, 0.29, 0.45, 0.57, 0.66, 0.72, 0.84, 0.78, 0.85, 0.86, 0.9, 0.88, 0.87, 0.9, 0.81, 0.71, 0.56, 0.41, 0.23]"
61,skdladiesfashionwear,SKD ladies fashion wear,"clothing brand. 👗 👜
viber/9840069710 “call 9823628219""
@skd_ladies_fashion_wea","TikTok user. Bio: clothing brand. 👗 👜
viber/9840069710 “call 9823628219""
@skd_ladies_fashion_wea",709,[],[],"[0.08, 0.0, 0.05, 0.01, 0.06, 0.0, 0.24, 0.51, 0.38, 0.28, 0.36, 0.5, 0.64, 0.5, 0.5, 0.64, 0.72, 0.76, 0.75, 0.72, 0.62, 0.35, 0.2, 0.09]"
